model,mean_excess,median_excess,std_excess,worst_excess,best_excess,win_rate,mean_ic
xgb_conservative_top75,0.0024173952860951442,0.002737660528896231,0.018161487024077126,-0.023120672989471056,0.028340741802254397,0.5,0.033574548165297945
xgb_stable_top50,0.0020587111519623073,0.0035908739156177566,0.022131236929752877,-0.03788293071209043,0.029023143415033918,0.8333333333333334,0.0559283316413256
ENSEMBLE_EQUAL_3XGB,0.0014007103923209079,0.005016341989155699,0.02151003319005417,-0.025924194236493853,0.03162272695529009,0.5,
xgb_aggressive_top30,0.00032061299458453936,0.009429305797986603,0.025586089135114305,-0.04146999904769697,0.02743468897636011,0.6666666666666666,0.047471715440975976
