train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.020345579182827568,-0.003061793855363824,-0.02818216722028255,0.025120373364918725,40,0.04878048780487805,0.0012195121951219512,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.1169707981665703,0.0526841417920911,0.04031470373404189,0.012369438058049208,40,0.04878048780487805,0.0012195121951219512,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.050367865309121525,0.04993316259735168,0.04981432543152153,0.00011883716583014486,40,0.04878048780487805,0.0012195121951219512,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.23309761562090475,-0.030060058364394793,-0.0069223356080729825,-0.02313772275632181,40,0.04878048780487805,0.0012195121951219512,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.19430188864665746,-0.011474449712438052,-0.04277639472616812,0.03130194501373007,40,0.04878048780487805,0.0012195121951219512,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.033079295075109004,0.02490693889863392,0.020712017312295883,0.004194921586338038,40,0.04878048780487805,0.0012195121951219512,114149,4974,498
