train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.031676353286877595,0.008949718882324305,-0.02818216722028255,0.037131886102606856,50,0.03921568627450981,0.0007843137254901962,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.10485338891809937,0.0544130715970766,0.04031470373404189,0.014098367863034707,50,0.03921568627450981,0.0007843137254901962,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.07834715341932019,0.05920709760783924,0.04981432543152153,0.009392772176317704,50,0.03921568627450981,0.0007843137254901962,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.2234209296901962,-0.01989756696935313,-0.0069223356080729825,-0.012975231361280148,50,0.03921568627450981,0.0007843137254901962,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.1959731177300519,-0.020281687575568915,-0.04277639472616812,0.022494707150599206,50,0.03921568627450981,0.0007843137254901962,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.029728910551421028,0.024243427828149432,0.020712017312295883,0.0035314105158535496,50,0.03921568627450981,0.0007843137254901962,114149,4974,498
