model,mean_excess,median_excess,std_excess,worst_excess,best_excess,win_rate,mean_ic
ridge,0.00710686997363176,0.004149245194587351,0.018165944225755515,-0.008108474281271948,0.04104887367076889,0.6666666666666666,-0.001868304941993813
xgb_conservative_top75,0.002904276086181107,-0.002756362516557701,0.013767042582356627,-0.009239141590105556,0.025013739144293,0.5,0.06093084335030858
ENSEMBLE_WEIGHTED_3XGB,0.002344293731343387,0.0002673708920058117,0.009733585759516394,-0.011670091692777065,0.01631585337460642,0.5,
xgb_aggressive_top30,-0.0008050206190279007,0.008486025349082937,0.031519844809829715,-0.04809836763155628,0.02805957555699526,0.5,0.049614947424597135
xgb_stable_top50,-0.006263193436473209,-0.007113871316170868,0.013156163660464343,-0.020488701589439308,0.010153950879381902,0.3333333333333333,0.05804259191649045
