train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,-0.06730396208964604,-0.00573937714647541,-0.02818216722028255,0.022442790073807138,40,0.04878048780487805,0.0012195121951219512,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.03264362657852338,0.015489054133790505,0.04031470373404189,-0.024825649600251385,40,0.04878048780487805,0.0012195121951219512,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.08905621895304815,0.055031925103696824,0.04981432543152153,0.005217599672175291,40,0.04878048780487805,0.0012195121951219512,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.2262749242361297,-0.023697367058321414,-0.0069223356080729825,-0.01677503145024843,40,0.04878048780487805,0.0012195121951219512,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.1695574532235747,-0.025283683458422503,-0.04277639472616812,0.01749271126774562,40,0.04878048780487805,0.0012195121951219512,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.044858567324978935,0.01950445387313468,0.020712017312295883,-0.0012075634391612022,40,0.04878048780487805,0.0012195121951219512,114149,4974,498
