name,ic,ic_std,split1_ic,split2_ic,split3_ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
subsample_0.6,0.1180659857178134,0.07064735570761416,0.028689256154358217,0.12408364502209994,0.20142505597698207,1.7036583423614502,400,5,0.05,0.6,0.8,10,1.0
learning_rate_0.025,0.11793378851806624,0.05353981741911966,0.04739716793361094,0.12936500709795512,0.17703919052263267,1.8033442497253418,400,5,0.025,0.8,0.8,10,1.0
reg_lambda_3.5,0.11697838794442732,0.05614023729837648,0.04739716793361094,0.11865661760302552,0.18488137829664547,1.0805652141571045,400,5,0.05,0.8,0.8,10,3.5
subsample_0.75,0.11671870180343835,0.05068288786761167,0.04539095402046638,0.14626726858424707,0.15849788280560162,1.0117225646972656,400,5,0.05,0.75,0.8,10,1.0
max_depth_3,0.11643921730166178,0.07446204140092903,0.023425036632755452,0.12018926072850515,0.20570335454372474,1.646759271621704,400,3,0.05,0.8,0.8,10,1.0
max_depth_4,0.11633970577810494,0.0587651701122453,0.043467035046066096,0.11817548879641497,0.18737659349183378,1.1755003929138184,400,4,0.05,0.8,0.8,10,1.0
reg_lambda_5.0,0.11481236027810256,0.051499376671006736,0.04816761314264105,0.12269584716242785,0.1735736205292388,0.9403729438781738,400,5,0.05,0.8,0.8,10,5.0
reg_lambda_4.0,0.11440114297155957,0.0519569133646882,0.04760719428779061,0.12128005584581214,0.17431617878107591,1.1614573001861572,400,5,0.05,0.8,0.8,10,4.0
reg_lambda_4.5,0.11393443719122902,0.05163439095176253,0.04816761314264105,0.11933678056161623,0.17429891786942978,0.9688279628753662,400,5,0.05,0.8,0.8,10,4.5
learning_rate_0.04,0.11382730053768612,0.05194641721358398,0.04739716793361094,0.11987761939666167,0.1742071142827857,1.629525899887085,400,5,0.04,0.8,0.8,10,1.0
reg_lambda_3.0,0.11319532815790079,0.05232696561181792,0.04739716793361094,0.11676662999526717,0.17542218654482428,1.0036637783050537,400,5,0.05,0.8,0.8,10,3.0
reg_lambda_1.5,0.11106218159115011,0.04710218923740508,0.04739716793361094,0.12592415886355374,0.15986521797628567,1.1570608615875244,400,5,0.05,0.8,0.8,10,1.5
reg_lambda_2.5,0.11087800305482669,0.04953372660461526,0.04739716793361094,0.1169664657923432,0.16827037543852594,0.9625937938690186,400,5,0.05,0.8,0.8,10,2.5
reg_lambda_2.0,0.11077493042366182,0.04701262344170496,0.04739716793361094,0.12506483007138264,0.1598627932659919,0.8766283988952637,400,5,0.05,0.8,0.8,10,2.0
subsample_0.8,0.11025623665718738,0.04670160709255124,0.04739716793361094,0.12413261554925822,0.15923892648869298,1.15838623046875,400,5,0.05,0.8,0.8,10,1.0
baseline,0.11025623665718738,0.04670160709255124,0.04739716793361094,0.12413261554925822,0.15923892648869298,1.4328699111938477,400,5,0.05,0.8,0.8,10,1.0
min_child_weight_10,0.11025623665718738,0.04670160709255124,0.04739716793361094,0.12413261554925822,0.15923892648869298,0.9314658641815186,400,5,0.05,0.8,0.8,10,1.0
colsample_bytree_0.8,0.11025623665718738,0.04670160709255124,0.04739716793361094,0.12413261554925822,0.15923892648869298,1.1274816989898682,400,5,0.05,0.8,0.8,10,1.0
min_child_weight_27,0.10947252339289759,0.04508424810938307,0.04862757379299674,0.12339338546797296,0.1563966109177231,0.8560874462127686,400,5,0.05,0.8,0.8,27,1.0
min_child_weight_25,0.10946298291978829,0.045081304178218866,0.04862757379299674,0.12336476404864502,0.1563966109177231,0.9055557250976562,400,5,0.05,0.8,0.8,25,1.0
colsample_bytree_0.75,0.10916800121418628,0.04598280755483506,0.04739716793361094,0.1224494125487198,0.15765742316022807,0.950514554977417,400,5,0.05,0.8,0.75,10,1.0
min_child_weight_20,0.10910611121914944,0.044697912484199034,0.04862757379299674,0.1234200870381293,0.15527067282632226,1.2290244102478027,400,5,0.05,0.8,0.8,20,1.0
min_child_weight_30,0.1087479216458268,0.04481697976614137,0.04862757379299674,0.12142993848988348,0.15618625265460018,0.8599588871002197,400,5,0.05,0.8,0.8,30,1.0
max_depth_6,0.09546038472507014,0.04318401955067946,0.03584092535122994,0.11380584972521415,0.13673437909876635,1.2091448307037354,400,6,0.05,0.8,0.8,10,1.0
max_depth_7,0.05873531200590853,0.03900098073166645,0.012103905864946444,0.1075607919871195,0.05654123816565963,1.532200813293457,400,7,0.05,0.8,0.8,10,1.0
