name,ic,ic_std,split1_ic,split2_ic,split3_ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
colsample_bytree_0.7,0.13580941179523415,0.043361588201720695,0.08880500446414177,0.12520472076699493,0.19341851015456574,0.9977669715881348,400,5,0.05,0.8,0.7,10,1.0
colsample_bytree_0.65,0.13580941179523415,0.043361588201720695,0.08880500446414177,0.12520472076699493,0.19341851015456574,0.9657175540924072,400,5,0.05,0.8,0.65,10,1.0
learning_rate_0.02,0.12421999216545619,0.05876282437688489,0.04739716793361094,0.1351851923222544,0.19007761624050323,1.5286741256713867,400,5,0.02,0.8,0.8,10,1.0
learning_rate_0.01,0.12420124834566497,0.060080507960437464,0.04739716793361094,0.13113344458607407,0.1940731325173099,2.043384552001953,400,5,0.01,0.8,0.8,10,1.0
learning_rate_0.015,0.12383834220128487,0.05965845706229323,0.04739716793361094,0.1311355173950633,0.19298234127518038,1.8485512733459473,400,5,0.015,0.8,0.8,10,1.0
subsample_0.7,0.12066765758705489,0.05682214987556498,0.05098897101335419,0.12084007783847073,0.19017392390933974,1.3404991626739502,400,5,0.05,0.7,0.8,10,1.0
subsample_0.65,0.120644577763714,0.05949796723922504,0.044898174310992314,0.12678650262665542,0.1902490563534943,1.5646162033081055,400,5,0.05,0.65,0.8,10,1.0
learning_rate_0.005,0.12019364716510349,0.055869125984117814,0.04739716793361094,0.12999220039232257,0.18319157316937695,3.5201826095581055,400,5,0.005,0.8,0.8,10,1.0
learning_rate_0.035,0.11927765871261738,0.05612277102125255,0.04739716793361094,0.12607095872729973,0.1843648494769415,1.5285649299621582,400,5,0.035,0.8,0.8,10,1.0
colsample_bytree_0.6,0.1188968079060126,0.058150318917316465,0.047521840093166734,0.11920916124638917,0.18995942237848196,1.1863658428192139,400,5,0.05,0.8,0.6,10,1.0
learning_rate_0.03,0.11841588008562738,0.05554713022465689,0.04739716793361094,0.12484805597692272,0.1830024163463485,1.7915291786193848,400,5,0.03,0.8,0.8,10,1.0
