model,mean_excess,median_excess,std_excess,worst_excess,best_excess,win_rate,mean_ic
ENSEMBLE_WEIGHTED_3XGB,0.0005367344578283695,-0.0019230013148552752,0.025573566611238514,-0.02665423541911552,0.034491461962074865,0.5,
xgb_conservative_top75,-0.00033802893855794093,-0.002394821736086198,0.0206723159023124,-0.02626010129989126,0.02718049573114681,0.5,0.06057407293053998
xgb_stable_top50,-0.0028578098301096397,-0.0070497717343136436,0.022207959382373698,-0.024945162203420017,0.03007256762230165,0.5,0.0665954960948606
xgb_aggressive_top30,-0.00448038111911525,-0.005620917533795419,0.03378079004004065,-0.042172478400495095,0.04384681910615723,0.5,0.04308541728698024
