model,train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_names
xgb_conservative_top75,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.16847621441910465,-0.011661431379293681,-0.0024222897891881257,-0.009239141590105556,75,0.02631578947368421,0.0003508771929824561,75
ridge,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.1846499260701436,0.038626583881580766,-0.0024222897891881257,0.04104887367076889,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2026-01-30,2026-02-13,2026-02-24,2026-03-09,,-0.001252693552010247,-0.0024222897891881257,0.0011695962371778786,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-03-09,2026-03-23,2026-03-24,2026-04-07,0.1523966541267581,0.015027351548195044,0.01752055741730163,-0.0024932058691065854,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-03-09,2026-03-23,2026-03-24,2026-04-07,0.1229532060042996,0.01642418608272568,0.01752055741730163,-0.001096371334575949,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2026-03-09,2026-03-23,2026-03-24,2026-04-07,0.07022241077581495,0.01793743146576529,0.01752055741730163,0.0004168740484636613,75,0.02631578947368421,0.0003508771929824561,75
ridge,2026-03-09,2026-03-23,2026-03-24,2026-04-07,0.10178452797479326,0.01794752318719574,0.01752055741730163,0.00042696576989411164,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2026-03-09,2026-03-23,2026-03-24,2026-04-07,,0.016885702964135375,0.01752055741730163,-0.0006348544531662552,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-04-07,2026-04-21,2026-04-22,2026-05-08,0.1546320024137164,0.07930833512841254,0.05124875957141728,0.02805957555699526,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-04-07,2026-04-21,2026-04-22,2026-05-08,0.12242320640354434,0.06140271045079918,0.05124875957141728,0.010153950879381902,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2026-04-07,2026-04-21,2026-04-22,2026-05-08,0.10186873588383645,0.07626249871571028,0.05124875957141728,0.025013739144293,75,0.02631578947368421,0.0003508771929824561,75
ridge,2026-04-07,2026-04-21,2026-04-22,2026-05-08,0.06255554423313928,0.05912028419069787,0.05124875957141728,0.00787152461928059,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2026-04-07,2026-04-21,2026-04-22,2026-05-08,,0.0675646129460237,0.05124875957141728,0.01631585337460642,50,0.03921568627450981,0.0007843137254901962,50
