model,train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_names
xgb_aggressive_top30,2025-11-05,2025-11-19,2025-11-20,2025-12-03,-0.025589221328629834,0.0017204173921619654,-0.017744839175110494,0.01946525656727246,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-11-05,2025-11-19,2025-11-20,2025-12-03,0.021578502894833932,-0.011613010701971665,-0.017744839175110494,0.006131828473138829,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-11-05,2025-11-19,2025-11-20,2025-12-03,0.07158889809521057,-0.003527546109945302,-0.017744839175110494,0.014217293065165192,75,0.02631578947368421,0.0003508771929824561,75
ridge,2025-11-05,2025-11-19,2025-11-20,2025-12-03,-0.19427881786489343,-0.008701929608185669,-0.017744839175110494,0.009042909566924825,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2025-11-05,2025-11-19,2025-11-20,2025-12-03,,-0.007687732123407369,-0.017744839175110494,0.010057107051703125,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2025-12-03,2025-12-17,2025-12-18,2025-12-31,-0.030694220844380442,0.017795149208624583,0.0459158898904064,-0.02812074068178182,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-12-03,2025-12-17,2025-12-18,2025-12-31,0.0020347666685466767,0.026767394140827457,0.0459158898904064,-0.019148495749578946,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-12-03,2025-12-17,2025-12-18,2025-12-31,-0.00413497553473801,0.03998629080882734,0.0459158898904064,-0.005929599081579064,75,0.02631578947368421,0.0003508771929824561,75
ridge,2025-12-03,2025-12-17,2025-12-18,2025-12-31,-0.04359735384200001,0.037807415609134455,0.0459158898904064,-0.008108474281271948,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2025-12-03,2025-12-17,2025-12-18,2025-12-31,,0.03424579819762934,0.0459158898904064,-0.011670091692777065,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.034093602715691215,0.043101128351178436,0.016743770007168868,0.026357358344009568,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.04189519416976644,-0.003744931582270439,0.016743770007168868,-0.020488701589439308,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.04243622353737712,0.009690260938018277,0.016743770007168868,-0.007053509069150591,75,0.02631578947368421,0.0003508771929824561,75
ridge,2025-12-31,2026-01-16,2026-01-19,2026-01-30,-0.12232365622314557,0.009103190503362965,0.016743770007168868,-0.007640579503805903,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_WEIGHTED_3XGB,2025-12-31,2026-01-16,2026-01-19,2026-01-30,,0.015571921877685085,0.016743770007168868,-0.0011718481294837827,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.08103807289580979,-0.05052065742074441,-0.0024222897891881257,-0.04809836763155628,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-01-30,2026-02-13,2026-02-24,2026-03-09,0.12116106369748458,-0.015553661086953913,-0.0024222897891881257,-0.013131371297765787,50,0.03921568627450981,0.0007843137254901962,50
