train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.019333408569010772,0.005686321966854134,-0.02818216722028255,0.03386848918713668,40,0.04878048780487805,0.0012195121951219512,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.17055263596420683,0.05291952694896883,0.04031470373404189,0.012604823214926938,40,0.04878048780487805,0.0012195121951219512,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.14504393453137837,0.02807572136751487,0.04981432543152153,-0.021738604064006663,40,0.04878048780487805,0.0012195121951219512,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.22570729020680566,-0.021273265408344018,-0.0069223356080729825,-0.014350929800271035,40,0.04878048780487805,0.0012195121951219512,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.2078202713795957,-0.04122521924584058,-0.04277639472616812,0.0015511754803275435,40,0.04878048780487805,0.0012195121951219512,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,-0.013488815399006626,0.019199911690769886,0.020712017312295883,-0.001512105621525997,40,0.04878048780487805,0.0012195121951219512,114149,4974,498
