"as_of","score_start","score_end","baseline_ic","tuned_ic","ic_diff","ic_winner","baseline_portfolio_return_pct","baseline_benchmark_return_pct","baseline_excess_return_pct","tuned_portfolio_return_pct","tuned_benchmark_return_pct","tuned_excess_return_pct","excess_diff_pct","portfolio_winner"
"20250613","20250616","20250619","0.0048","0.0043","-0.0005","BASELINE","-0.473","-1.105","0.632","0.29","-1.105","1.395","0.763","TUNED"
"20250630","20250701","20250704","0.0918","0.0589","-0.0329","BASELINE","1.258","-0.067","1.325","1.804","-0.067","1.871","0.546","TUNED"
"20250728","20250729","20250801","0.02","0.0462","0.0262","TUNED","-0.86","-1.743","0.883","-1.41","-1.743","0.333","-0.55","BASELINE"
"20250818","20250819","20250822","0.096","0.1013","0.0053","TUNED","1.209","2.32","-1.11","2.656","2.32","0.336","1.446","TUNED"
"20250922","20250923","20250926","0.1386","0.1485","0.00989999999999999","TUNED","-2.052","0.218","-2.27","-3.612","0.218","-3.83","-1.56","BASELINE"
"20251010","20251013","20251017","0.0921","0.1057","0.0136","TUNED","-7.849","-5.166","-2.683","-7.122","-5.166","-1.957","0.726","TUNED"
"20251111","20251112","20251118","0.0039","-0.032","-0.0359","BASELINE","-3.27","-1.928","-1.342","-1.403","-1.928","0.526","1.868","TUNED"
"20251218","20251219","20251224","-0.0012","-0.0179","-0.0167","BASELINE","3.431","3.538","-0.107","3.412","3.538","-0.126","-0.019","BASELINE"
"20260126","20260127","20260130","0.0449","0.0052","-0.0397","BASELINE","-2.056","-1.601","-0.455","-1.019","-1.601","0.582","1.037","TUNED"
"20260202","20260203","20260206","-0.0438","-0.064","-0.0202","BASELINE","0.956","1.361","-0.404","1.597","1.361","0.236","0.64","TUNED"
"20260309","20260310","20260313","0.0378","0.0544","0.0166","TUNED","-1.796","-0.479","-1.317","-1.613","-0.479","-1.134","0.183","TUNED"
"20260417","20260420","20260424","0.1218","0.14","0.0182","TUNED","1.235","0.683","0.551","1.648","0.683","0.964","0.413","TUNED"
