train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.05321840427357969,0.0030908734404238476,-0.02818216722028255,0.031273040660706394,40,0.04878048780487805,0.0012195121951219512,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.11975213927080741,0.04281475431283836,0.04031470373404189,0.0025000505787964727,40,0.04878048780487805,0.0012195121951219512,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.07412447277167035,0.013684219435104344,0.04981432543152153,-0.03613010599641719,40,0.04878048780487805,0.0012195121951219512,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.23136773740660777,-0.026898141108324364,-0.0069223356080729825,-0.01997580550025138,40,0.04878048780487805,0.0012195121951219512,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.16972149413177795,-0.03299257973633367,-0.04277639472616812,0.009783814989834452,40,0.04878048780487805,0.0012195121951219512,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.042856527268270835,0.01494302275641398,0.020712017312295883,-0.0057689945558819025,40,0.04878048780487805,0.0012195121951219512,114149,4974,498
