train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,-0.036387633824136824,-0.004429333642309597,-0.02818216722028255,0.023752833577972955,50,0.03921568627450981,0.0007843137254901962,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.07803152653488116,0.025897934475621505,0.04031470373404189,-0.014416769258420385,50,0.03921568627450981,0.0007843137254901962,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.06311120458418666,0.036838818093605535,0.04981432543152153,-0.012975507337915998,50,0.03921568627450981,0.0007843137254901962,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.21807418019051403,-0.0014963311886741484,-0.0069223356080729825,0.005426004419398834,50,0.03921568627450981,0.0007843137254901962,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.1381377339313263,-0.02989891546874316,-0.04277639472616812,0.01287747925742496,50,0.03921568627450981,0.0007843137254901962,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.0726968779131917,0.033171544735207066,0.020712017312295883,0.012459527422911183,50,0.03921568627450981,0.0007843137254901962,114149,4974,498
