name,ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
max_depth_3,0.19912466656758343,0.6144213676452637,400,3,0.05,0.8,0.8,10,1.0
learning_rate_0.03,0.19887494380156726,1.0389249324798584,400,5,0.03,0.8,0.8,10,1.0
learning_rate_0.005,0.1960801486881436,0.9713966846466064,400,5,0.005,0.8,0.8,10,1.0
learning_rate_0.01,0.19423466574438442,0.6598904132843018,400,5,0.01,0.8,0.8,10,1.0
learning_rate_0.02,0.18920401901943182,0.6576297283172607,400,5,0.02,0.8,0.8,10,1.0
min_child_weight_25,0.18678626374522492,0.39552974700927734,400,5,0.05,0.8,0.8,25,1.0
learning_rate_0.015,0.18671961016619276,0.5038120746612549,400,5,0.015,0.8,0.8,10,1.0
min_child_weight_17,0.18645327444488444,0.42672014236450195,400,5,0.05,0.8,0.8,17,1.0
min_child_weight_15,0.18644206952809136,0.3591306209564209,400,5,0.05,0.8,0.8,15,1.0
learning_rate_0.04,0.1853804935484617,0.4511585235595703,400,5,0.04,0.8,0.8,10,1.0
subsample_0.7,0.1824278699522144,0.8549339771270752,400,5,0.05,0.7,0.8,10,1.0
learning_rate_0.025,0.18112854389674898,0.5180501937866211,400,5,0.025,0.8,0.8,10,1.0
subsample_0.75,0.1793901963737931,0.49699926376342773,400,5,0.05,0.75,0.8,10,1.0
colsample_bytree_0.65,0.17934542423118677,0.5959944725036621,400,5,0.05,0.8,0.65,10,1.0
colsample_bytree_0.7,0.17934542423118677,0.571925163269043,400,5,0.05,0.8,0.7,10,1.0
min_child_weight_20,0.17842373486323249,0.3570740222930908,400,5,0.05,0.8,0.8,20,1.0
min_child_weight_5,0.17804904992288492,0.3695242404937744,400,5,0.05,0.8,0.8,5,1.0
reg_lambda_2.0,0.1780386631931561,0.36673974990844727,400,5,0.05,0.8,0.8,10,2.0
reg_lambda_1.5,0.17785009782047245,0.37581515312194824,400,5,0.05,0.8,0.8,10,1.5
colsample_bytree_0.8,0.17782566100006095,0.40027904510498047,400,5,0.05,0.8,0.8,10,1.0
baseline,0.17782566100006095,1.6002702713012695,400,5,0.05,0.8,0.8,10,1.0
subsample_0.8,0.17782566100006095,0.3700263500213623,400,5,0.05,0.8,0.8,10,1.0
n_estimators_300,0.17782566100006095,0.44477128982543945,300,5,0.05,0.8,0.8,10,1.0
n_estimators_500,0.17782566100006095,0.7266604900360107,500,5,0.05,0.8,0.8,10,1.0
n_estimators_600,0.17782566100006095,0.5687434673309326,600,5,0.05,0.8,0.8,10,1.0
n_estimators_200,0.17782566100006095,0.4274468421936035,200,5,0.05,0.8,0.8,10,1.0
min_child_weight_12,0.17781788363942086,0.41669154167175293,400,5,0.05,0.8,0.8,12,1.0
min_child_weight_18,0.17780027156490164,0.38524651527404785,400,5,0.05,0.8,0.8,18,1.0
reg_lambda_5.0,0.17775936452358201,0.4717683792114258,400,5,0.05,0.8,0.8,10,5.0
reg_lambda_4.5,0.17775936452358201,0.3715250492095947,400,5,0.05,0.8,0.8,10,4.5
reg_lambda_3.5,0.17766562840355557,0.3741617202758789,400,5,0.05,0.8,0.8,10,3.5
reg_lambda_4.0,0.1776639719549093,0.42651963233947754,400,5,0.05,0.8,0.8,10,4.0
colsample_bytree_0.75,0.17717201338982158,0.41260790824890137,400,5,0.05,0.8,0.75,10,1.0
reg_lambda_2.5,0.17696300288220052,0.413724422454834,400,5,0.05,0.8,0.8,10,2.5
reg_lambda_3.0,0.17696300288220052,0.3642284870147705,400,5,0.05,0.8,0.8,10,3.0
subsample_0.65,0.17442848897981927,0.4910893440246582,400,5,0.05,0.65,0.8,10,1.0
learning_rate_0.035,0.17119573576035285,0.66727614402771,400,5,0.035,0.8,0.8,10,1.0
max_depth_6,0.16970375785246397,0.4770791530609131,400,6,0.05,0.8,0.8,10,1.0
max_depth_7,0.16698855005098906,0.4561798572540283,400,7,0.05,0.8,0.8,10,1.0
max_depth_4,0.16387818569896379,0.5931887626647949,400,4,0.05,0.8,0.8,10,1.0
subsample_0.6,0.15375070463475532,0.5086300373077393,400,5,0.05,0.6,0.8,10,1.0
colsample_bytree_0.6,0.13426656634499023,0.3683030605316162,400,5,0.05,0.8,0.6,10,1.0
