train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.03340463302496074,0.008273724076799861,-0.02818216722028255,0.03645589129708241,50,0.03921568627450981,0.0007843137254901962,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.10392385913654749,0.03399700721496509,0.04031470373404189,-0.0063176965190768,50,0.03921568627450981,0.0007843137254901962,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.056201687336214806,0.08714379102603652,0.04981432543152153,0.037329465594514985,50,0.03921568627450981,0.0007843137254901962,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.22382187160703573,-0.02138652180810701,-0.0069223356080729825,-0.014464186200034028,50,0.03921568627450981,0.0007843137254901962,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.16444848529428358,-0.03753668745742272,-0.04277639472616812,0.005239707268745404,50,0.03921568627450981,0.0007843137254901962,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,-0.03595289580538233,0.010377154458529783,0.020712017312295883,-0.0103348628537661,50,0.03921568627450981,0.0007843137254901962,114149,4974,498
