train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-11-11,2025-11-25,2025-11-26,2025-11-28,0.11542510180526404,0.007033193280369957,0.011064326748773556,-0.004031133468403599,30,0.06451612903225806,0.002150537634408602,67908,4979,497
2025-12-09,2025-12-23,2025-12-24,2025-12-26,0.21736327096203453,0.05209374986499228,0.02784331796472972,0.024250431900262562,30,0.06451612903225806,0.002150537634408602,77863,4970,498
2026-01-08,2026-01-22,2026-01-23,2026-01-27,-0.15048846424995718,0.025994125392794505,0.0192351919710001,0.006758933421794407,30,0.06451612903225806,0.002150537634408602,87807,4980,495
2026-02-05,2026-02-27,2026-03-02,2026-03-04,-0.064514105720734,-0.02613906288217589,-0.04729541661613812,0.02115635373396223,30,0.06451612903225806,0.002150537634408602,97741,4975,497
2026-03-13,2026-03-27,2026-03-30,2026-04-01,-0.12945942347411485,0.012348228316341674,0.0016126418298973988,0.010735586486444276,30,0.06451612903225806,0.002150537634408602,107692,4965,497
2026-04-13,2026-04-27,2026-04-28,2026-04-30,,0.010569345434444197,0.0060800942373033795,0.004489251197140817,30,0.06451612903225806,0.002150537634408602,117632,4971,498
