train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.043266152066302306,0.005311942306820761,-0.02818216722028255,0.03349410952710331,40,0.04878048780487805,0.0012195121951219512,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.11690978987407437,0.048934174417004886,0.04031470373404189,0.008619470682962996,40,0.04878048780487805,0.0012195121951219512,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.06268023309417865,0.036088741728155946,0.04981432543152153,-0.013725583703365588,40,0.04878048780487805,0.0012195121951219512,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.19248889622457335,-0.051759040374970755,-0.0069223356080729825,-0.04483670476689777,40,0.04878048780487805,0.0012195121951219512,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.14546668414751227,-0.0365990824727266,-0.04277639472616812,0.006177312253441522,40,0.04878048780487805,0.0012195121951219512,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.03313316774524217,0.014878700215016267,0.020712017312295883,-0.005833317097279616,40,0.04878048780487805,0.0012195121951219512,114149,4974,498
