train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-11-10,2025-11-25,2025-11-26,2025-11-28,0.12891762155803463,0.015186544946910038,0.011064326748773556,0.004122218198136482,100,0.019801980198019802,0.00019801980198019803,67411,4978,497
2025-12-08,2025-12-23,2025-12-24,2025-12-26,0.19897552454396647,0.04950113782900187,0.02784331796472972,0.02165781986427215,100,0.019801980198019802,0.00019801980198019803,77366,4970,498
2026-01-07,2026-01-22,2026-01-23,2026-01-27,-0.19049461226565587,0.00775827016088414,0.0192351919710001,-0.011476921810115958,100,0.019801980198019802,0.00019801980198019803,87309,4980,495
2026-02-04,2026-02-27,2026-03-02,2026-03-04,-0.1605471554701364,-0.03419371337133532,-0.04729541661613812,0.013101703244802802,100,0.019801980198019802,0.00019801980198019803,97246,4972,497
2026-03-12,2026-03-27,2026-03-30,2026-04-01,-0.09263560565581055,-0.00037360909065102245,0.0016126418298973988,-0.001986250920548421,100,0.019801980198019802,0.00019801980198019803,107195,4965,497
2026-04-10,2026-04-27,2026-04-28,2026-04-30,,-0.0019408347791071356,0.0060800942373033795,-0.008020929016410515,100,0.019801980198019802,0.00019801980198019803,117135,4970,498
