train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.043266152066302306,0.0049781057722401685,-0.02818216722028255,0.03316027299252272,50,0.03921568627450981,0.0007843137254901962,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.11690978987407437,0.046825971214045074,0.04031470373404189,0.006511267480003184,50,0.03921568627450981,0.0007843137254901962,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.06268023309417865,0.032508511430748344,0.04981432543152153,-0.01730581400077319,50,0.03921568627450981,0.0007843137254901962,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.19248889622457335,-0.04366925614067439,-0.0069223356080729825,-0.03674692053260141,50,0.03921568627450981,0.0007843137254901962,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.14546668414751227,-0.037077952184498345,-0.04277639472616812,0.0056984425416697765,50,0.03921568627450981,0.0007843137254901962,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.03313316774524217,0.019858578049026732,0.020712017312295883,-0.0008534392632691505,50,0.03921568627450981,0.0007843137254901962,114149,4974,498
