train_end,val_start,val_end,rank_ic,portfolio_ret_mean,equal_weight_ret_mean,excess_vs_equal_mean,win_rate_vs_equal,n_train,n_val
2025-11-06,2025-11-17,2025-11-21,0.10839270630598637,-0.004428848965780599,-0.016197202712296816,0.011768353746516219,1.0,71393,2488
2025-12-04,2025-12-15,2025-12-19,0.12018811842815127,0.03837666646738428,0.02767584917713552,0.010700817290248757,0.8,81342,2487
2026-01-05,2026-01-14,2026-01-20,0.011464983411224908,0.03282514816720933,0.026026636969925153,0.006798511197284171,0.6,91293,2473
2026-02-02,2026-02-11,2026-02-25,0.08523212255930979,0.023611525000988356,0.006718674878713531,0.016892850122274823,0.8,101222,2488
2026-03-10,2026-03-19,2026-03-25,0.0488476024272129,0.01667738055569064,0.0027070285016108707,0.01397035205407977,1.0,111166,2488
2026-04-08,2026-04-17,2026-04-23,0.04115987561291974,0.014683731188245258,-0.003525051050170231,0.018208782238415492,0.8,121111,2490
