model,train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_names
xgb_aggressive_top30,2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.05324945819004213,-0.00074747824392244,-0.02818216722028255,0.02743468897636011,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.059410149334273146,0.0008409761947513686,-0.02818216722028255,0.029023143415033918,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.024641366347437365,0.00015857458197184686,-0.02818216722028255,0.028340741802254397,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_EQUAL_3XGB,2025-10-31,2025-11-14,2025-11-17,2025-11-28,,0.0034405597350075376,-0.02818216722028255,0.03162272695529009,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.13110300427580102,0.056461118578956,0.04031470373404189,0.01614641484491411,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.17289608835206477,0.041300680330392414,0.04031470373404189,0.000985976596350524,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.1328539152993157,0.031188075946900998,0.04031470373404189,-0.009126627787140892,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_EQUAL_3XGB,2025-11-28,2025-12-12,2025-12-15,2025-12-26,,0.03871779922522536,0.04031470373404189,-0.0015969045088165268,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.07220685850883883,0.00834432638382456,0.04981432543152153,-0.04146999904769697,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.0703965334163366,0.05348661364184344,0.04981432543152153,0.0036722882103219084,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2025-12-26,2026-01-13,2026-01-14,2026-01-27,-0.027123676939256738,0.026693652442050478,0.04981432543152153,-0.023120672989471056,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_EQUAL_3XGB,2025-12-26,2026-01-13,2026-01-14,2026-01-27,,0.02389013119502768,0.04981432543152153,-0.025924194236493853,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.2145272447895455,-0.0259683740101162,-0.0069223356080729825,-0.019046038402043216,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.19712048592737594,-0.04480526632016341,-0.0069223356080729825,-0.03788293071209043,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.21237762942921629,-0.010544029895786242,-0.0069223356080729825,-0.0036216942877132594,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_EQUAL_3XGB,2026-01-27,2026-02-10,2026-02-11,2026-03-04,,-0.026213981379040144,-0.0069223356080729825,-0.01929164577096716,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.17525800026563645,-0.03362245708011002,-0.04277639472616812,0.009153937646058104,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.18666960240571218,-0.039266935105254516,-0.04277639472616812,0.0035094596209136047,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.18566055779368046,-0.0336793793806624,-0.04277639472616812,0.009097015345505721,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_EQUAL_3XGB,2026-03-04,2026-03-18,2026-03-19,2026-04-01,,-0.030811703298383144,-0.04277639472616812,0.011964691427784977,50,0.03921568627450981,0.0007843137254901962,50
xgb_aggressive_top30,2026-04-01,2026-04-16,2026-04-17,2026-04-30,-0.01099827285273516,0.030416691262210985,0.020712017312295883,0.009704673949915102,30,0.06451612903225806,0.002150537634408602,30
xgb_stable_top50,2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.022416335223615386,0.0337563470935402,0.020712017312295883,0.01304432978124432,50,0.03921568627450981,0.0007843137254901962,50
xgb_conservative_top75,2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.04435861264875554,0.03364762694543184,0.020712017312295883,0.012935609633135954,75,0.02631578947368421,0.0003508771929824561,75
ENSEMBLE_EQUAL_3XGB,2026-04-01,2026-04-16,2026-04-17,2026-04-30,,0.03234160579942381,0.020712017312295883,0.011629588487127925,50,0.03921568627450981,0.0007843137254901962,50
