train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-11-10,2025-11-25,2025-11-26,2025-11-28,0.14312328999405197,0.021654362388515064,0.011064326748773556,0.010590035639741507,75,0.02631578947368421,0.0003508771929824561,67411,4978,497
2025-12-08,2025-12-23,2025-12-24,2025-12-26,0.22152885281777268,0.05280529462844504,0.02784331796472972,0.024961976663715323,75,0.02631578947368421,0.0003508771929824561,77366,4970,498
2026-01-07,2026-01-22,2026-01-23,2026-01-27,-0.18859653375959634,0.011147279392328971,0.0192351919710001,-0.008087912578671128,75,0.02631578947368421,0.0003508771929824561,87309,4980,495
2026-02-04,2026-02-27,2026-03-02,2026-03-04,-0.24936518806255803,-0.050609160726439485,-0.04729541661613812,-0.0033137441103013657,75,0.02631578947368421,0.0003508771929824561,97246,4972,497
2026-03-12,2026-03-27,2026-03-30,2026-04-01,-0.1570097234078777,0.003098306313667798,0.0016126418298973988,0.001485664483770399,75,0.02631578947368421,0.0003508771929824561,107195,4965,497
2026-04-10,2026-04-27,2026-04-28,2026-04-30,,0.0015620661042758408,0.0060800942373033795,-0.004518028133027539,75,0.02631578947368421,0.0003508771929824561,117135,4970,498
