name,ic,elapsed_time,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda
max_depth_3,0.19912466656758343,0.38358330726623535,400,3,0.05,0.8,0.8,10,1.0
learning_rate_0.03,0.19887494380156726,0.7691247463226318,400,5,0.03,0.8,0.8,10,1.0
min_child_weight_15,0.18644206952809136,0.30303049087524414,400,5,0.05,0.8,0.8,15,1.0
learning_rate_0.04,0.1853804935484617,0.3241729736328125,400,5,0.04,0.8,0.8,10,1.0
subsample_0.7,0.1824278699522144,0.6161091327667236,400,5,0.05,0.7,0.8,10,1.0
colsample_bytree_0.7,0.17934542423118677,0.5075705051422119,400,5,0.05,0.8,0.7,10,1.0
min_child_weight_20,0.17842373486323249,0.31956005096435547,400,5,0.05,0.8,0.8,20,1.0
min_child_weight_5,0.17804904992288492,0.3140692710876465,400,5,0.05,0.8,0.8,5,1.0
reg_lambda_2.0,0.1780386631931561,0.32036805152893066,400,5,0.05,0.8,0.8,10,2.0
n_estimators_200,0.17782566100006095,0.29354333877563477,200,5,0.05,0.8,0.8,10,1.0
reg_lambda_0.8,0.17782566100006095,0.3100590705871582,400,5,0.05,0.8,0.8,10,0.8
reg_lambda_0.5,0.17782566100006095,0.29308271408081055,400,5,0.05,0.8,0.8,10,0.5
baseline,0.17782566100006095,0.5189483165740967,400,5,0.05,0.8,0.8,10,1.0
n_estimators_600,0.17782566100006095,0.2835500240325928,600,5,0.05,0.8,0.8,10,1.0
n_estimators_500,0.17782566100006095,0.2977461814880371,500,5,0.05,0.8,0.8,10,1.0
n_estimators_300,0.17782566100006095,0.2840573787689209,300,5,0.05,0.8,0.8,10,1.0
learning_rate_0.07,0.17782482751563963,0.28955912590026855,400,5,0.07,0.8,0.8,10,1.0
learning_rate_0.06,0.17782482751563963,0.2745490074157715,400,5,0.06,0.8,0.8,10,1.0
reg_lambda_5.0,0.17775936452358201,0.3025515079498291,400,5,0.05,0.8,0.8,10,5.0
min_child_weight_7,0.1776787583573069,0.30154871940612793,400,5,0.05,0.8,0.8,7,1.0
colsample_bytree_0.9,0.17586822228019267,0.4160761833190918,400,5,0.05,0.8,0.9,10,1.0
subsample_0.9,0.1744868500757551,0.38910675048828125,400,5,0.05,0.9,0.8,10,1.0
max_depth_6,0.16970375785246397,0.3105478286743164,400,6,0.05,0.8,0.8,10,1.0
max_depth_7,0.16698855005098906,0.3344860076904297,400,7,0.05,0.8,0.8,10,1.0
colsample_bytree_1.0,0.16655105565925254,0.375591516494751,400,5,0.05,0.8,1.0,10,1.0
max_depth_4,0.16387818569896379,0.3700563907623291,400,4,0.05,0.8,0.8,10,1.0
subsample_1.0,0.15999254968609716,0.25754404067993164,400,5,0.05,1.0,0.8,10,1.0
subsample_0.6,0.15375070463475532,0.35306215286254883,400,5,0.05,0.6,0.8,10,1.0
colsample_bytree_0.6,0.13426656634499023,0.2935512065887451,400,5,0.05,0.8,0.6,10,1.0
