train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.031676353286877595,0.009102059272418835,-0.02818216722028255,0.03728422649270138,40,0.04878048780487805,0.0012195121951219512,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.10485338891809937,0.0529034109798444,0.04031470373404189,0.012588707245802508,40,0.04878048780487805,0.0012195121951219512,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.07834715341932019,0.06601852167552992,0.04981432543152153,0.016204196244008387,40,0.04878048780487805,0.0012195121951219512,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.2234209296901962,-0.023734461623854716,-0.0069223356080729825,-0.016812126015781734,40,0.04878048780487805,0.0012195121951219512,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.1959731177300519,-0.013631370364060152,-0.04277639472616812,0.029145024362107967,40,0.04878048780487805,0.0012195121951219512,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,0.029728910551421028,0.020668444989765458,0.020712017312295883,-4.3572322530424645e-05,40,0.04878048780487805,0.0012195121951219512,114149,4974,498
