train_end,as_of,val_start,val_end,rank_ic_asof,portfolio_return,benchmark_return,excess_return,top_k,max_weight,min_weight,n_train,n_es,n_pred
2025-10-31,2025-11-14,2025-11-17,2025-11-28,0.022356948887087134,-0.0006059460324304935,-0.02818216722028255,0.02757622118785206,50,0.03921568627450981,0.0007843137254901962,64429,4972,498
2025-11-28,2025-12-12,2025-12-15,2025-12-26,0.1286551822127902,0.054992801860161006,0.04031470373404189,0.014678098126119116,50,0.03921568627450981,0.0007843137254901962,74381,4973,497
2025-12-26,2026-01-13,2026-01-14,2026-01-27,0.07532033465410351,0.022934997531661266,0.04981432543152153,-0.026879327899860268,50,0.03921568627450981,0.0007843137254901962,84324,4977,496
2026-01-27,2026-02-10,2026-02-11,2026-03-04,0.22167282639899727,-0.02908266669931899,-0.0069223356080729825,-0.02216033109124601,50,0.03921568627450981,0.0007843137254901962,94278,4953,498
2026-03-04,2026-03-18,2026-03-19,2026-04-01,-0.16530359667540015,-0.033754379248794375,-0.04277639472616812,0.009022015477373746,50,0.03921568627450981,0.0007843137254901962,104210,4970,497
2026-04-01,2026-04-16,2026-04-17,2026-04-30,-0.00038038816742124576,0.015774231455204894,0.020712017312295883,-0.0049377858570909886,50,0.03921568627450981,0.0007843137254901962,114149,4974,498
